DATE,source_file,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN
2015-01-01,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-18.3,-24.4,-21.4
2015-01-02,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-20.9,-25.6,-23.3
2015-01-03,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-23.2,-28.8,-26
2015-01-04,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-24.7,-30.5,-27.6
2015-01-05,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-11.5,-28.4,-19.9
2015-01-06,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-11.8,-31.8,-21.8
2015-01-07,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-27,-31,-29
2015-01-08,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-21.7,-28.2,-24.9
2015-01-09,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-11.6,-27.4,-19.5
2015-01-10,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-11.9,-23.8,-17.9
2015-01-11,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-23.8,-28.6,-26.2
2015-01-12,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-25.9,-30.8,-28.4
2015-01-13,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-29.1,-37.8,-33.4
2015-01-14,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-24.9,-34.1,-29.5
2015-01-15,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-20.8,-25.9,-23.3
2015-01-16,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-19.5,-22.5,-21
2015-01-17,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-19.4,-21.6,-20.5
2015-01-18,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-20.6,-22.8,-21.7
2015-01-19,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-20.3,-29.7,-25
2015-01-20,CRND0103-2015-AK_Deadhorse_3_S.txt,-148.46,70.16,-19.3,-26.9,-23.1
