LST_DATE,source_file,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG
57139-02-08,CRND0103-2015-AK_Deadhorse_3_S.txt,83.3,78.6,81.7
57139-02-09,CRND0103-2015-AK_Deadhorse_3_S.txt,87.5,75.5,79.2
57139-02-10,CRND0103-2015-AK_Deadhorse_3_S.txt,80.3,72.9,76.2
57139-02-11,CRND0103-2015-AK_Deadhorse_3_S.txt,86.9,71.7,75.9
57139-02-12,CRND0103-2015-AK_Deadhorse_3_S.txt,93.2,69.1,79.4
57139-02-13,CRND0103-2015-AK_Deadhorse_3_S.txt,91.8,71.4,81.3
57139-02-14,CRND0103-2015-AK_Deadhorse_3_S.txt,76.2,72.2,74.2
57139-02-15,CRND0103-2015-AK_Deadhorse_3_S.txt,81.9,73.2,78.1
57139-02-16,CRND0103-2015-AK_Deadhorse_3_S.txt,89,74.7,81.8
57139-02-17,CRND0103-2015-AK_Deadhorse_3_S.txt,88.7,80.4,85
57139-02-18,CRND0103-2015-AK_Deadhorse_3_S.txt,83.3,76.3,78.7
57139-02-19,CRND0103-2015-AK_Deadhorse_3_S.txt,77.7,72.7,75.7
57139-02-20,CRND0103-2015-AK_Deadhorse_3_S.txt,75.4,68,71.5
57139-02-21,CRND0103-2015-AK_Deadhorse_3_S.txt,77.5,70.2,74.5
57139-02-22,CRND0103-2015-AK_Deadhorse_3_S.txt,80.9,76.4,78.6
57139-02-23,CRND0103-2015-AK_Deadhorse_3_S.txt,82.3,79.4,81.2
57139-02-24,CRND0103-2015-AK_Deadhorse_3_S.txt,82.3,80.4,81.2
57139-02-25,CRND0103-2015-AK_Deadhorse_3_S.txt,81.4,79.3,80.2
57139-02-26,CRND0103-2015-AK_Deadhorse_3_S.txt,86.5,74,79.6
57139-02-27,CRND0103-2015-AK_Deadhorse_3_S.txt,82.2,76.1,80.1
57139-02-28,CRND0103-2015-AK_Deadhorse_3_S.txt,82.6,78.2,80.6
57139-03-01,CRND0103-2015-AK_Deadhorse_3_S.txt,80.5,76.9,78.8
57139-03-02,CRND0103-2015-AK_Deadhorse_3_S.txt,78.1,75.8,76.9
57139-03-03,CRND0103-2015-AK_Deadhorse_3_S.txt,75.7,71.4,72.9
57139-03-04,CRND0103-2015-AK_Deadhorse_3_S.txt,77.3,70.9,73
57139-03-05,CRND0103-2015-AK_Deadhorse_3_S.txt,75,68.5,72.3
57139-03-06,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-03-07,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-03-08,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-03-09,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-03-10,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-19,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-20,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-21,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-22,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-23,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-24,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-25,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-26,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-27,CRND0103-2015-AK_Deadhorse_3_S.txt,83.6,63,69.5
57139-05-28,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-29,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-30,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-05-31,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-01,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-02,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-03,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-04,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-05,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-06,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-07,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-08,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-09,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-10,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-11,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-06-12,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
