X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,source_file
26565,20150101,2.514,-148.46,70.16,-18.3,-24.4,-21.4,-20.2,0,0,C,-18.4,-25.3,-21,83.3,78.6,81.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150102,2.514,-148.46,70.16,-20.9,-25.6,-23.3,-23.8,0,0,C,-23.2,-26.6,-25.1,87.5,75.5,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150103,2.514,-148.46,70.16,-23.2,-28.8,-26,-26.2,0,0,C,-25.3,-29.7,-28,80.3,72.9,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150104,2.514,-148.46,70.16,-24.7,-30.5,-27.6,-27.8,0,0,C,-27.8,-31.3,-29.7,86.9,71.7,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150105,2.514,-148.46,70.16,-11.5,-28.4,-19.9,-17.8,0.3,0,C,-12,-29.5,-18.7,93.2,69.1,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150106,2.514,-148.46,70.16,-11.8,-31.8,-21.8,-21.6,0,0,C,-12.1,-32.9,-22,91.8,71.4,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150107,2.514,-148.46,70.16,-27,-31,-29,-29,0.2,0,C,-28,-32.9,-29.8,76.2,72.2,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150108,2.514,-148.46,70.16,-21.7,-28.2,-24.9,-23.8,0,0,C,-23.1,-29.2,-25.2,81.9,73.2,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150109,2.514,-148.46,70.16,-11.6,-27.4,-19.5,-19.8,0,0,C,-11.7,-27.1,-20.4,89,74.7,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150110,2.514,-148.46,70.16,-11.9,-23.8,-17.9,-15.3,0,0,C,-11.9,-24.7,-15.3,88.7,80.4,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150111,2.514,-148.46,70.16,-23.8,-28.6,-26.2,-26.8,0,0,C,-24.7,-31.2,-28.8,83.3,76.3,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150112,2.514,-148.46,70.16,-25.9,-30.8,-28.4,-28.3,0,0,C,-28,-33.8,-30.6,77.7,72.7,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150113,2.514,-148.46,70.16,-29.1,-37.8,-33.4,-33.4,0,0,C,-31.5,-38.9,-36.1,75.4,68,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150114,2.514,-148.46,70.16,-24.9,-34.1,-29.5,-28.4,0,0,C,-26.5,-37.4,-30.2,77.5,70.2,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150115,2.514,-148.46,70.16,-20.8,-25.9,-23.3,-23.5,0,0,C,-21.2,-27.5,-24.1,80.9,76.4,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150116,2.514,-148.46,70.16,-19.5,-22.5,-21,-20.6,0,0,C,-19.3,-22.4,-20.6,82.3,79.4,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150117,2.514,-148.46,70.16,-19.4,-21.6,-20.5,-20.7,0,0,C,-19.3,-22.1,-20.5,82.3,80.4,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150118,2.514,-148.46,70.16,-20.6,-22.8,-21.7,-21.8,0,0,C,-20.2,-22.4,-21.4,81.4,79.3,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150119,2.514,-148.46,70.16,-20.3,-29.7,-25,-23.7,0,0,C,-19.4,-31.6,-25,86.5,74,79.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150120,2.514,-148.46,70.16,-19.3,-26.9,-23.1,-21.5,0,0,C,-19.7,-28.3,-22.5,82.2,76.1,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150121,2.514,-148.46,70.16,-18.7,-23.6,-21.2,-21,0,0,C,-19,-24.8,-21,82.6,78.2,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150122,2.514,-148.46,70.16,-21.2,-25.5,-23.4,-23.2,0.4,0,C,-21.6,-26.6,-23.6,80.5,76.9,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150123,2.514,-148.46,70.16,-24.3,-26.9,-25.6,-25.6,0,0,C,-24.5,-27.5,-25.9,78.1,75.8,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150124,2.514,-148.46,70.16,-26.9,-33.3,-30.1,-31.1,0,0,C,-27.2,-34.6,-31.8,75.7,71.4,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150125,2.514,-148.46,70.16,NA,NA,NA,NA,0,0,C,-28.7,-35.3,-31.1,77.3,70.9,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150126,2.514,-148.46,70.16,NA,NA,NA,NA,1.3,0,C,-25.9,-34.3,-29.3,75,68.5,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150127,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150128,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150129,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150130,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150131,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150201,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150202,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150203,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150204,2.514,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150205,2.514,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150206,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150207,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150208,2.514,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150209,2.514,-148.46,70.16,NA,NA,NA,NA,9.2,0.74,C,-33.7,-39.7,-37.2,83.6,63,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150210,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150211,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150212,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150213,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150214,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150215,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150216,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150217,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150218,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150219,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150220,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150221,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150222,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150223,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150224,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150225,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150226,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150227,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150228,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150301,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150302,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150303,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150304,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150305,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150306,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150307,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150308,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150309,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150310,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150311,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150312,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150313,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150314,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150315,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150316,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150317,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150318,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150319,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150320,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150321,-9,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150322,2.514,-148.46,70.16,NA,NA,NA,NA,NA,-9999,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150323,2.514,-148.46,70.16,-16.9,-30,-23.5,-21.4,0,8.68,C,-17,-30.2,-21,83.9,78.5,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150324,2.514,-148.46,70.16,-22,-30.2,-26.1,-26.2,0,9.07,C,-21.4,-30.4,-25.7,84.7,75.2,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150325,2.514,-148.46,70.16,-21.2,-27,-24.1,-23.5,0,10.21,C,-18.3,-26.6,-22.8,81.5,76.4,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150326,2.514,-148.46,70.16,-16.4,-24.2,-20.3,-19,0,7.74,C,-14.5,-24.9,-18.6,85.5,78.6,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150327,2.514,-148.46,70.16,-17.6,-23.1,-20.4,-19.6,1.1,8.42,C,-14.4,-23.3,-18.7,84.6,79,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150328,2.514,-148.46,70.16,-17.2,-22.6,-19.9,-19.3,1.4,9.61,C,-8,-22.7,-17.4,84.9,79.8,82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150329,2.514,-148.46,70.16,-16.8,-19.5,-18.2,-18.1,0.2,10.86,C,-16.6,-19.9,-17.8,85.6,82.7,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150330,2.514,-148.46,70.16,-16.7,-20,-18.4,-18.3,0.4,10.84,C,-16.2,-20.3,-18.2,84.5,81.2,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150331,2.514,-148.46,70.16,-15.6,-19.2,-17.4,-17.5,0,12.29,C,-15.5,-20,-17.7,83.8,82,82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150401,2.514,-148.46,70.16,-16.3,-20.8,-18.6,-18.4,0,12.02,C,-16.8,-21.9,-19,85.4,78.4,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150402,2.514,-148.46,70.16,-15.7,-19.8,-17.7,-17.6,0.7,7.92,C,-14,-20.3,-17.5,85.9,78.5,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150403,2.514,-148.46,70.16,-16.2,-25.8,-21,-18.9,1.8,8.06,C,-13.9,-28.5,-19,87.4,81.6,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150404,2.514,-148.46,70.16,-17.5,-26.5,-22,-20.7,0.8,13.32,C,-18.1,-28.6,-22.1,84,79.2,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
26565,20150405,2.514,-148.46,70.16,-16,-25.1,-20.6,-20.3,0.6,13.18,C,-17.2,-26,-21.1,82.7,73.5,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRND0103-2015-AK_Deadhorse_3_S.txt
